"","TimeStamp","Enlem(N)","Boylam(E)","Derinlik(km)","MD","ML","Mw","Yer","Çözüm Niteligi"
"160","2020.12.15 06:58:07","38.2873"," 38.8155","5.0","-.-","2.7","-.-"," BOLUKKAYA-PUTURGE (MALATYA)"," Ilksel"
"161","2020.12.15 05:46:58","35.6883"," 26.2802","8.8","-.-","3.9","4.1"," AKDENIZ"," Ilksel"
"162","2020.12.15 05:45:38","37.6583"," 27.1973"," 12.3","-.-","2.4","-.-"," TUZBURGAZI-SOKE (AYDIN)"," Ilksel"
"163","2020.12.15 05:40:23","37.8467"," 26.4885","6.8","-.-","3.1","3.1"," SISAM ADASI (EGE DENIZI)","Ilksel"
"164","2020.12.15 05:23:30","37.9483"," 26.9860","3.8","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"165","2020.12.15 05:08:42","37.9080"," 26.9458","4.9","-.-","2.2","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"166","2020.12.15 04:58:13","38.0180"," 27.0788","5.2","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"167","2020.12.15 04:57:39","38.4833"," 39.3275","5.9","-.-","1.8","-.-"," GUNEYKOY-SIVRICE (ELAZIG)"," Ilksel"
"168","2020.12.15 04:03:31","34.2902"," 26.2935"," 22.0","-.-","3.0","-.-"," GIRIT ADASI ACIKLARI (AKDENIZ)","Ilksel"
"169","2020.12.15 04:00:31","37.8653"," 26.9722","5.0","-.-","2.1","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"170","2020.12.15 03:57:23","37.8072"," 26.9417","7.3","-.-","1.8","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"171","2020.12.15 03:40:32","37.8733"," 26.7455","1.8","-.-","3.2","3.3"," EGE DENIZI","Ilksel"
"172","2020.12.15 03:31:39","38.8730"," 43.5452","5.0","-.-","2.8","-.-"," ERMISLER-(VAN)","Ilksel"
"173","2020.12.15 03:28:25","37.8660"," 27.0712"," 13.9","-.-","1.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"174","2020.12.15 02:23:12","38.8658"," 43.3825","5.0","-.-","1.8","-.-"," KUMLUCA-(VAN)"," Ilksel"
"175","2020.12.15 01:51:43","37.8380"," 27.1938"," 13.3","-.-","2.0","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"176","2020.12.15 01:19:36","39.7237"," 26.3580","7.5","-.-","2.6","-.-"," CINARKOY-EZINE (CANAKKALE)","Ilksel"
"177","2020.12.15 00:58:44","38.8585"," 43.5042","5.0","-.-","4.6","4.7"," ERMISLER-(VAN)","Ilksel"
"178","2020.12.15 00:18:48","37.8872"," 26.8512","5.2","-.-","2.0","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"179","2020.12.14 23:58:16","37.9048"," 26.9695","5.2","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"180","2020.12.14 23:13:42","39.1050"," 27.8263","8.1","-.-","2.8","-.-"," KARAKURT-KIRKAGAC (MANISA)","Ilksel"
"181","2020.12.14 23:00:58","37.9015"," 26.8842","5.2","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"182","2020.12.14 22:21:01","37.8650"," 27.0185","5.2","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"183","2020.12.14 22:14:03","38.6313"," 43.7295","8.4","-.-","2.2","-.-"," DEGIRMENARKI-(VAN)","Ilksel"
"184","2020.12.14 21:09:59","37.6547"," 27.0603"," 12.5","-.-","1.9","-.-"," DOGANBEY ACIKLARI-AYDIN (EGE DENIZI)","Ilksel"
